ASP,domain.pddl,p01.pddl,6,5
ASP,domain.pddl,p02.pddl,10,5
ASP,domain.pddl,p03.pddl,6,4
ASP,domain.pddl,p04.pddl,12,9
ASP,domain.pddl,p05.pddl,10,8
ASP,domain.pddl,p06.pddl,16,14
ASP,domain.pddl,p07.pddl,12,9
ASP,domain.pddl,p08.pddl,10,11
ASP,domain.pddl,p09.pddl,20,76
ASP,domain.pddl,p10.pddl,20,35
ASP,domain.pddl,p11.pddl,22,647
ASP,domain.pddl,p12.pddl,20,88
ASP,domain.pddl,p13.pddl,18,212
ASP,domain.pddl,p14.pddl,20,760
ASP,domain.pddl,p15.pddl,16,118
ASP,domain.pddl,p16.pddl,30,2412
ASP,domain.pddl,p17.pddl,28,157
ASP,domain.pddl,p18.pddl,26,242
ASP,domain.pddl,p19.pddl,34,71805
ASP,domain.pddl,p20.pddl,32,16952
ASP,domain.pddl,p21.pddl,34,71919
ASP,domain.pddl,p22.pddl,32,87986
ASP,domain.pddl,p23.pddl,30,99935
ASP,domain.pddl,p24.pddl,34,58421
ASP,domain.pddl,p25.pddl,34,65812
ASP,domain.pddl,p26.pddl,34,4347
ASP,domain.pddl,p29.pddl,38,179925
ASP,domain.pddl,p30.pddl,36,752374
SatSolver,domain.pddl,p01.pddl,6,82
SatSolver,domain.pddl,p02.pddl,6,71
SatSolver,domain.pddl,p03.pddl,6,90
SatSolver,domain.pddl,p04.pddl,8,138
SatSolver,domain.pddl,p05.pddl,6,91
SatSolver,domain.pddl,p06.pddl,12,273
SatSolver,domain.pddl,p07.pddl,12,369
SatSolver,domain.pddl,p08.pddl,10,542
SatSolver,domain.pddl,p09.pddl,16,1104
SatSolver,domain.pddl,p10.pddl,18,2063
SatSolver,domain.pddl,p11.pddl,18,11493
SatSolver,domain.pddl,p12.pddl,14,1823
SatSolver,domain.pddl,p13.pddl,16,6098
SatSolver,domain.pddl,p14.pddl,-1,450367
SatSolver,domain.pddl,p15.pddl,14,1636
SatSolver,domain.pddl,p16.pddl,24,155890
